Title,Author,Published Year
The Pragmatic Programmer,"Andrew Hunt, David Thomas",1999
Clean Code,Robert C. Martin,2008
Refactoring,Martin Fowler,2012
Design Patterns: Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",1994
Code Complete,Steve McConnell,2004
The Mythical Man-Month,Frederick P. Brooks Jr.,1975
Head First Design Patterns,"Eric Freeman, Elisabeth Robson",2004
Domain-Driven Design,Eric Evans,2003
You Donâ€™t Know JS,Kyle Simpson,2014
The Clean Coder,Robert C. Martin,2011